FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
I0AGEY16MCE,I701,I701,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70201,I70201,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70202,I70202,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70203,I70203,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70208,I70208,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70209,I70209,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70211,I70211,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70212,I70212,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70213,I70213,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70218,I70218,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70219,I70219,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70221,I70221,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70222,I70222,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70223,I70223,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70228,I70228,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70229,I70229,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70231,I70231,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70232,I70232,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70233,I70233,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70234,I70234,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70235,I70235,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70238,I70238,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70239,I70239,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70241,I70241,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70242,I70242,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70243,I70243,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70244,I70244,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70245,I70245,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70248,I70248,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70249,I70249,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I7025,I7025,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70261,I70261,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70262,I70262,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70263,I70263,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70268,I70268,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70269,I70269,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70291,I70291,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70292,I70292,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70293,I70293,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70298,I70298,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70299,I70299,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70301,I70301,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70302,I70302,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70303,I70303,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70308,I70308,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70309,I70309,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70311,I70311,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70312,I70312,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70313,I70313,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70318,I70318,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
